rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,2523136,6.713359169165293,12.63900928,1.3593143224716187,3.8935226852974365
16,32,5046272,7.063711051146189,11.565351424,1.3295449018478394,3.7793230332045975
64,128,20185088,6.768309338887533,13.92701184,1.3183917999267578,3.7374060449531625
